20:29:41:058 [ALWAYS]	GUDE Logging Started
20:29:41:059 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:29:41:059 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:29:41:059 [ERROR]	Initialize resume cache pointer failure
20:29:41:059 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
20:29:41:059 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
20:29:46:366 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
20:29:46:366 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:29:46:366 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:29:46:366 [ERROR]	Initialize resume cache pointer failure
20:29:46:367 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
20:29:46:367 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
